name	place	building	detail	date	datecalc	camera	product	year	film	nr
19950101								1995	01	1
19950102	München	Nordendstr. 19						1995	01	2
19950103	München	Nordendstr. 19						1995	01	3
19950104	München	Nordendstr. 19						1995	01	4
19950105	München	Nordendstr. 19						1995	01	5
19950106	München	Nordendstr. 19						1995	01	6
19950107	München	Nordendstr. 19						1995	01	7
19950108	München	Nordendstr. 19						1995	01	8
19950109	München	Nordendstr. 19						1995	01	9
19950110	München	Nordendstr. 19						1995	01	10
19950111	München	Nordendstr. 19						1995	01	11
19950112	München	Nordendstr. 19						1995	01	12
19950113	München	Nordendstr. 19						1995	01	13
19950114	München	Nordendstr. 19						1995	01	14
19950115	München	Nordendstr. 19						1995	01	15
19950116	München	Leipartstr. 26						1995	01	16
19950117	München	Leipartstr. 26						1995	01	17
19950118	München	Leipartstr. 26						1995	01	18
19950119	München	Leipartstr. 26						1995	01	19
19950120	München	Leipartstr. 26						1995	01	20
19950121	München	Leipartstr. 26						1995	01	21
19950122	München	Leipartstr. 26						1995	01	22
19950123	München	Leipartstr. 26						1995	01	23
19950124	München	Leipartstr. 26						1995	01	24
19950125	München	Leipartstr. 26						1995	01	25
19950126	München	Leipartstr. 26						1995	01	26
19950127	München	Leipartstr. 26						1995	01	27
19950128	München	Leipartstr. 26						1995	01	28
19950129	München	Leipartstr. 26						1995	01	29
19950130	München	Leipartstr. 26						1995	01	30
19950131	München	Leipartstr. 26						1995	01	31
19950132	München	Leipartstr. 26						1995	01	32
19950133	Dresden				1995-02-16			1995	01	33
19950134	Dresden				1995-02-16			1995	01	34
19950135	Dresden	Zwinger			1995-02-16			1995	01	35
19950136	Dresden	Zwinger			1995-02-16			1995	01	36
19950137	Dresden	Zwinger			1995-02-16			1995	01	37
19950201					1995-02-16	Nikon	Agfa CT100	1995	02	1
19950202	(Doubl. v. 950137)				1995-02-16	Nikon	Agfa CT100	1995	02	2
19950203	Dresden	Schloß			1995-02-16	Nikon	Agfa CT100	1995	02	3
19950204	Dresden	Frauenkirche			1995-02-16	Nikon	Agfa CT100	1995	02	4
19950205	Dresden	Frauenkirche			1995-02-16	Nikon	Agfa CT100	1995	02	5
19950206	Leipzig	Elbe u. Hofkirche			1995-02-17	Nikon	Agfa CT100	1995	02	6
19950207	Leipzig	Konsumzentrale	Industriestr., F. Höger		1995-02-17	Nikon	Agfa CT100	1995	02	7
19950208	Leipzig	Konsumzentrale			1995-02-17	Nikon	Agfa CT100	1995	02	8
19950209	Leipzig	Konsumzentrale			1995-02-17	Nikon	Agfa CT100	1995	02	9
19950210	Leipzig	Industriestr.			1995-02-17	Nikon	Agfa CT100	1995	02	10
19950211	Leipzig	Industriestr.			1995-02-17	Nikon	Agfa CT100	1995	02	11
19950212	Leipzig	Naturkundemuseum			1995-02-17	Nikon	Agfa CT100	1995	02	12
19950213	Leipzig	Romanushaus			1995-02-17	Nikon	Agfa CT100	1995	02	13
19950214	Leipzig	Romanushaus			1995-02-17	Nikon	Agfa CT100	1995	02	14
19950215	Leipzig	Romanushaus			1995-02-17	Nikon	Agfa CT100	1995	02	15
19950216	Leipzig	Romanushaus			1995-02-17	Nikon	Agfa CT100	1995	02	16
19950217	Leipzig	Sachsenplatz			1995-02-17	Nikon	Agfa CT100	1995	02	17
19950218	Leipzig	Fregehaus			1995-02-17	Nikon	Agfa CT100	1995	02	18
19950219	Leipzig	Fregehaus	Hof		1995-02-17	Nikon	Agfa CT100	1995	02	19
19950220	Leipzig	Fregehaus			1995-02-17	Nikon	Agfa CT100	1995	02	20
19950221	Leipzig	Katharinenstr.			1995-02-17	Nikon	Agfa CT100	1995	02	21
19950222	Leipzig	Katharinenstr.			1995-02-17	Nikon	Agfa CT100	1995	02	22
19950223	Leipzig	Alte Börse			1995-02-17	Nikon	Agfa CT100	1995	02	23
19950224	Leipzig	Alte Börse			1995-02-17	Nikon	Agfa CT100	1995	02	24
19950225	Leipzig	Universität, Haupteingang			1995-02-17	Nikon	Agfa CT100	1995	02	25
19950226	Leipzig	Krochhochhaus			1995-02-17	Nikon	Agfa CT100	1995	02	26
19950227	Leipzig	ehem. Dresdner Bank	M. Dülfer		1995-02-17	Nikon	Agfa CT100	1995	02	27
19950228	Leipzig	ehem. Dresdner Bank			1995-02-17	Nikon	Agfa CT100	1995	02	28
19950229	Leipzig	Untergrundmessehalle, Eingang			1995-02-17	Nikon	Agfa CT100	1995	02	29
19950230	Leipzig	Thomasgasse/Petersstraße (Ri. Rathaus)			1995-02-17	Nikon	Agfa CT100	1995	02	30
19950231	Leipzig	Burgplatz (Ri. Zentrum)			1995-02-17	Nikon	Agfa CT100	1995	02	31
19950232	Leipzig	Rathaus	H. Licht		1995-02-17	Nikon	Agfa CT100	1995	02	32
19950233	Leipzig	Rathaus			1995-02-17	Nikon	Agfa CT100	1995	02	33
19950234	Leipzig	Klingerhaus (total entkernt)			1995-02-17	Nikon	Agfa CT100	1995	02	34
19950235	Leipzig	Schillerstr.			1995-02-17	Nikon	Agfa CT100	1995	02	35
19950236	Leipzig	Concentrahaus	Petersstr.		1995-02-17	Nikon	Agfa CT100	1995	02	36
19950237	Leipzig	Concentrahaus			1995-02-17	Nikon	Agfa CT100	1995	02	37
19950301					1995-02-17	Nikon	Agfa CT 100i	1995	03	1
19950302	Leipzig	Hainstr.			1995-02-17	Nikon	Agfa CT 100i	1995	03	2
19950303	Leipzig	Hainstr.	Hof		1995-02-17	Nikon	Agfa CT 100i	1995	03	3
19950304	Leipzig	Hainstr.	Fassade		1995-02-17	Nikon	Agfa CT 100i	1995	03	4
19950305	Leipzig	Hainstr., Messeamt	A. Roßbach 1891/92		1995-02-17	Nikon	Agfa CT 100i	1995	03	5
19950306	Leipzig	Hainstr., Messeamt			1995-02-17	Nikon	Agfa CT 100i	1995	03	6
19950307	Leipzig	Blick v. Trödlerring z. Hotel Intercontinental			1995-02-17	Nikon	Agfa CT 100i	1995	03	7
19950308	Leipzig	Blick v. Trödlerring z. Hotel Intercontinental			1995-02-17	Nikon	Agfa CT 100i	1995	03	8
19950309	Leipzig	Blick v. Trödlerring z. Hotel Intercontinental			1995-02-17	Nikon	Agfa CT 100i	1995	03	9
19950310	Erfurt	Reglerkirche			1995-02-18	Nikon	Agfa CT 100i	1995	03	10
19950311	Erfurt	Reglerpalais			1995-02-18	Nikon	Agfa CT 100i	1995	03	11
19950312	Erfurt	Barfüßerkirche			1995-02-18	Nikon	Agfa CT 100i	1995	03	12
19950313	Erfurt	Barfüßerkirche			1995-02-18	Nikon	Agfa CT 100i	1995	03	13
19950314	Erfurt	Predigerkirche			1995-02-18	Nikon	Agfa CT 100i	1995	03	14
19950315	Erfurt	Predigerkirche			1995-02-18	Nikon	Agfa CT 100i	1995	03	15
19950316	Erfurt	Predigergasse 20/21			1995-02-18	Nikon	Agfa CT 100i	1995	03	16
19950317	Erfurt	Predigergasse 20/21			1995-02-18	Nikon	Agfa CT 100i	1995	03	17
19950318	Erfurt	Markt			1995-02-18	Nikon	Agfa CT 100i	1995	03	18
19950319	Erfurt	Krämerbrücke			1995-02-18	Nikon	Agfa CT 100i	1995	03	19
19950320	Erfurt	Krämerbrücke			1995-02-18	Nikon	Agfa CT 100i	1995	03	20
19950321	Erfurt	Dom			1995-02-18	Nikon	Agfa CT 100i	1995	03	21
19950322	Erfurt	Dom / Triangel			1995-02-18	Nikon	Agfa CT 100i	1995	03	22
19950323	Erfurt	Dom / Triangel			1995-02-18	Nikon	Agfa CT 100i	1995	03	23
19950324	Erfurt	Dom / Triangel			1995-02-18	Nikon	Agfa CT 100i	1995	03	24
19950325	Erfurt	Dom / Triangel			1995-02-18	Nikon	Agfa CT 100i	1995	03	25
19950326	Erfurt	Dom / Triangel			1995-02-18	Nikon	Agfa CT 100i	1995	03	26
19950327	Erfurt	Dom / Triangel			1995-02-18	Nikon	Agfa CT 100i	1995	03	27
19950328	Erfurt	Dom / Triangel			1995-02-18	Nikon	Agfa CT 100i	1995	03	28
19950329	Erfurt	St. Severi / Severigrab			1995-02-18	Nikon	Agfa CT 100i	1995	03	29
19950330	Erfurt	St. Severi / Severigrab			1995-02-18	Nikon	Agfa CT 100i	1995	03	30
19950331	Erfurt	St. Severi / Severigrab			1995-02-18	Nikon	Agfa CT 100i	1995	03	31
19950332	Erfurt	St. Severi / Severigrab			1995-02-18	Nikon	Agfa CT 100i	1995	03	32
19950333	Erfurt	ehem. St. Peter u. Paul			1995-02-18	Nikon	Agfa CT 100i	1995	03	33
19950334	Erfurt	Blick v. Petersberg			1995-02-18	Nikon	Agfa CT 100i	1995	03	34
19950335	Erfurt	ehem. St. Peter u. Paul			1995-02-18	Nikon	Agfa CT 100i	1995	03	35
19950336	Erfurt	ehem. St. Peter u. Paul			1995-02-18	Nikon	Agfa CT 100i	1995	03	36
19950337	Erfurt	Blick v. Petersberg			1995-02-18	Nikon	Agfa CT 100i	1995	03	37
19950401	Erfurt	Blick v. Petersberg			1995-02-18	Nikon	Agfa CT100i	1995	04	1
19950402	Erfurt	Blick v. Petersberg			1995-02-18	Nikon	Agfa CT100i	1995	04	2
19950403	Großkorbeta	Bahnhof			1995-02-18	Nikon	Agfa CT100i	1995	04	3
19950404	Großkorbeta	Bahnhof			1995-02-18	Nikon	Agfa CT100i	1995	04	4
19950405	Leipzig	Bahnhof			1995-02-18	Nikon	Agfa CT100i	1995	04	5
19950406	Leipzig	Nürnberger Str.			1995-02-19	Nikon	Agfa CT100i	1995	04	6
19950407	Leipzig	Nürnberger Str. / Anatomie			1995-02-19	Nikon	Agfa CT100i	1995	04	7
19950408	Leipzig	Nürnberger Str. / Studentenwohnheim			1995-02-19	Nikon	Agfa CT100i	1995	04	8
