filename	place	building	detail	date	calc	camera	product	year	film	nr
gsch-1995-01-01					1995			1995	01	1
gsch-1995-01-02	München	Nordendstr. 19			1995			1995	01	2
gsch-1995-01-03	München	Nordendstr. 19			1995			1995	01	3
gsch-1995-01-04	München	Nordendstr. 19			1995			1995	01	4
gsch-1995-01-05	München	Nordendstr. 19			1995			1995	01	5
gsch-1995-01-06	München	Nordendstr. 19			1995			1995	01	6
gsch-1995-01-07	München	Nordendstr. 19			1995			1995	01	7
gsch-1995-01-08	München	Nordendstr. 19			1995			1995	01	8
gsch-1995-01-09	München	Nordendstr. 19			1995			1995	01	9
gsch-1995-01-10	München	Nordendstr. 19			1995			1995	01	10
gsch-1995-01-11	München	Nordendstr. 19			1995			1995	01	11
gsch-1995-01-12	München	Nordendstr. 19			1995			1995	01	12
gsch-1995-01-13	München	Nordendstr. 19			1995			1995	01	13
gsch-1995-01-14	München	Nordendstr. 19			1995			1995	01	14
gsch-1995-01-15	München	Nordendstr. 19			1995			1995	01	15
gsch-1995-01-16	München	Leipartstr. 26			1995			1995	01	16
gsch-1995-01-17	München	Leipartstr. 26			1995			1995	01	17
gsch-1995-01-18	München	Leipartstr. 26			1995			1995	01	18
gsch-1995-01-19	München	Leipartstr. 26			1995			1995	01	19
gsch-1995-01-20	München	Leipartstr. 26			1995			1995	01	20
gsch-1995-01-21	München	Leipartstr. 26			1995			1995	01	21
gsch-1995-01-22	München	Leipartstr. 26			1995			1995	01	22
gsch-1995-01-23	München	Leipartstr. 26			1995			1995	01	23
gsch-1995-01-24	München	Leipartstr. 26			1995			1995	01	24
gsch-1995-01-25	München	Leipartstr. 26			1995			1995	01	25
gsch-1995-01-26	München	Leipartstr. 26			1995			1995	01	26
gsch-1995-01-27	München	Leipartstr. 26			1995			1995	01	27
gsch-1995-01-28	München	Leipartstr. 26			1995			1995	01	28
gsch-1995-01-29	München	Leipartstr. 26			1995			1995	01	29
gsch-1995-01-30	München	Leipartstr. 26			1995			1995	01	30
gsch-1995-01-31	München	Leipartstr. 26			1995			1995	01	31
gsch-1995-01-32	München	Leipartstr. 26			1995			1995	01	32
gsch-1995-01-33	Dresden			16.2.1995	1995-02-16			1995	01	33
gsch-1995-01-34	Dresden			16.2.1995	1995-02-16			1995	01	34
gsch-1995-01-35	Dresden	Zwinger		16.2.1995	1995-02-16			1995	01	35
gsch-1995-01-36	Dresden	Zwinger		16.2.1995	1995-02-16			1995	01	36
gsch-1995-02-01					1995	Nikon	Agfa CT100	1995	02	1
gsch-1995-02-02	(Doubl. v. 950137)				1995	Nikon	Agfa CT100	1995	02	2
gsch-1995-02-03	Dresden	Schloß			1995	Nikon	Agfa CT100	1995	02	3
gsch-1995-02-04	Dresden	Frauenkirche			1995	Nikon	Agfa CT100	1995	02	4
gsch-1995-02-05	Dresden	Frauenkirche			1995	Nikon	Agfa CT100	1995	02	5
gsch-1995-02-06	Leipzig	Elbe u. Hofkirche		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	6
gsch-1995-02-07	Leipzig	Konsumzentrale	Industriestr., F. Höger	17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	7
gsch-1995-02-08	Leipzig	Konsumzentrale		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	8
gsch-1995-02-09	Leipzig	Konsumzentrale		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	9
gsch-1995-02-10	Leipzig	Industriestr.		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	10
gsch-1995-02-11	Leipzig	Industriestr.		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	11
gsch-1995-02-12	Leipzig	Naturkundemuseum		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	12
gsch-1995-02-13	Leipzig	Romanushaus		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	13
gsch-1995-02-14	Leipzig	Romanushaus		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	14
gsch-1995-02-15	Leipzig	Romanushaus		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	15
gsch-1995-02-16	Leipzig	Romanushaus		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	16
gsch-1995-02-17	Leipzig	Sachsenplatz		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	17
gsch-1995-02-18	Leipzig	Fregehaus		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	18
gsch-1995-02-19	Leipzig	Fregehaus	Hof	17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	19
gsch-1995-02-20	Leipzig	Fregehaus		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	20
gsch-1995-02-21	Leipzig	Katharinenstr.		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	21
gsch-1995-02-22	Leipzig	Katharinenstr.		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	22
gsch-1995-02-23	Leipzig	Alte Börse		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	23
gsch-1995-02-24	Leipzig	Alte Börse		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	24
gsch-1995-02-25	Leipzig	Universität, Haupteingang		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	25
gsch-1995-02-26	Leipzig	Krochhochhaus		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	26
gsch-1995-02-27	Leipzig	ehem. Dresdner Bank	M. Dülfer	17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	27
gsch-1995-02-28	Leipzig	ehem. Dresdner Bank		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	28
gsch-1995-02-29	Leipzig	Untergrundmessehalle, Eingang		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	29
gsch-1995-02-30	Leipzig	Thomasgasse/Petersstraße (Ri. Rathaus)		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	30
gsch-1995-02-31	Leipzig	Burgplatz (Ri. Zentrum)		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	31
gsch-1995-02-32	Leipzig	Rathaus	H. Licht	17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	32
gsch-1995-02-33	Leipzig	Rathaus		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	33
gsch-1995-02-34	Leipzig	Klingerhaus (total entkernt)		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	34
gsch-1995-02-35	Leipzig	Schillerstr.		17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	35
gsch-1995-02-36	Leipzig	Concentrahaus	Petersstr.	17.2.1995	1995-02-17	Nikon	Agfa CT100	1995	02	36
gsch-1995-03-01					1995	Nikon	Agfa CT 100i	1995	03	1
gsch-1995-03-02	Leipzig	Hainstr.		(Fr. 17.2.1995)	1995-02-17	Nikon	Agfa CT 100i	1995	03	2
gsch-1995-03-03	Leipzig	Hainstr.	Hof	(Fr. 17.2.1995)	1995-02-17	Nikon	Agfa CT 100i	1995	03	3
gsch-1995-03-04	Leipzig	Hainstr.	Fassade	(Fr. 17.2.1995)	1995-02-17	Nikon	Agfa CT 100i	1995	03	4
gsch-1995-03-05	Leipzig	Hainstr., Messeamt	A. Roßbach 1891/92	(Fr. 17.2.1995)	1995-02-17	Nikon	Agfa CT 100i	1995	03	5
gsch-1995-03-06	Leipzig	Hainstr., Messeamt		(Fr. 17.2.1995)	1995-02-17	Nikon	Agfa CT 100i	1995	03	6
gsch-1995-03-07	Leipzig	Blick v. Trödlerring z. Hotel Intercontinental		(Fr. 17.2.1995)	1995-02-17	Nikon	Agfa CT 100i	1995	03	7
gsch-1995-03-08	Leipzig	Blick v. Trödlerring z. Hotel Intercontinental		(Fr. 17.2.1995)	1995-02-17	Nikon	Agfa CT 100i	1995	03	8
gsch-1995-03-09	Leipzig	Blick v. Trödlerring z. Hotel Intercontinental		(Fr. 17.2.1995)	1995-02-17	Nikon	Agfa CT 100i	1995	03	9
gsch-1995-03-10	Erfurt	Reglerkirche		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	10
gsch-1995-03-11	Erfurt	Reglerpalais		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	11
gsch-1995-03-12	Erfurt	Barfüßerkirche		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	12
gsch-1995-03-13	Erfurt	Barfüßerkirche		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	13
gsch-1995-03-14	Erfurt	Predigerkirche		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	14
gsch-1995-03-15	Erfurt	Predigerkirche		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	15
gsch-1995-03-16	Erfurt	Predigergasse 20/21		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	16
gsch-1995-03-17	Erfurt	Predigergasse 20/21		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	17
gsch-1995-03-18	Erfurt	Markt		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	18
gsch-1995-03-19	Erfurt	Krämerbrücke		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	19
gsch-1995-03-20	Erfurt	Krämerbrücke		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	20
gsch-1995-03-21	Erfurt	Dom		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	21
gsch-1995-03-22	Erfurt	Dom / Triangel		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	22
gsch-1995-03-23	Erfurt	Dom / Triangel		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	23
gsch-1995-03-24	Erfurt	Dom / Triangel		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	24
gsch-1995-03-25	Erfurt	Dom / Triangel		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	25
gsch-1995-03-26	Erfurt	Dom / Triangel		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	26
gsch-1995-03-27	Erfurt	Dom / Triangel		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	27
gsch-1995-03-28	Erfurt	Dom / Triangel		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	28
gsch-1995-03-29	Erfurt	St. Severi / Severigrab		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	29
gsch-1995-03-30	Erfurt	St. Severi / Severigrab		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	30
gsch-1995-03-31	Erfurt	St. Severi / Severigrab		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	31
gsch-1995-03-32	Erfurt	St. Severi / Severigrab		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	32
gsch-1995-03-33	Erfurt	ehem. St. Peter u. Paul		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	33
gsch-1995-03-34	Erfurt	Blick v. Petersberg		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	34
gsch-1995-03-35	Erfurt	ehem. St. Peter u. Paul		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	35
gsch-1995-03-36	Erfurt	ehem. St. Peter u. Paul		18.2.1995	1995-02-18	Nikon	Agfa CT 100i	1995	03	36
gsch-1995-04-01	Erfurt	Blick v. Petersberg		(Sa. 18.2.1995)	1995-02-18	Nikon	Agfa CT100i	1995	04	1
gsch-1995-04-02	Erfurt	Blick v. Petersberg		(Sa. 18.2.1995)	1995-02-18	Nikon	Agfa CT100i	1995	04	2
gsch-1995-04-03	Großkorbeta	Bahnhof		(Sa. 18.2.1995)	1995-02-18	Nikon	Agfa CT100i	1995	04	3
gsch-1995-04-04	Großkorbeta	Bahnhof		(Sa. 18.2.1995)	1995-02-18	Nikon	Agfa CT100i	1995	04	4
